id;creation_date;title;size;mime_type;assignment_id
1;2020-02-23T23:52:38;New Hampshire Berkshire;56228;pdf;1
2;2020-02-24T09:16:41;CSS;1515;pdf;2
3;2020-02-24T19:13:17;Licensed payment deliverables;59298;pdf;3
4;2020-02-24T07:36:24;encompassing;85880;pdf;4
5;2020-02-24T11:59:40;Health Prairie;34681;pdf;5
6;2020-02-24T12:40:14;digital Avon;7220;pdf;6
7;2020-02-24T04:03:04;Stream Virginia hard drive;84532;pdf;7
8;2020-02-24T03:54:15;Metrics;74833;pdf;8
9;2020-02-23T20:35:13;Sausages hacking;78719;pdf;9
10;2020-02-24T01:22:46;Division;1387;pdf;10
