id;creation_date;group_code;start_hour;end_hour;class_room;size;teacher_id;subject_id;week_days
1;2020-02-19T09:03:55;Ma101;07:00;08:00;R101;30;1;1;62
2;2020-02-19T07:21:50;Hi101;08:00;09:00;R102;30;1;2;20
3;2020-02-19T08:01:43;Geo101;09:00;10:00;R103;30;1;3;42
4;2020-02-18T23:24:06;Esp101;10:00;11:00;R104;30;1;4;62
5;2020-02-19T10:40:52;Qui101;11:00;12:00;R105;30;1;5;62
6;2020-02-19T02:01:27;Bio101;12:00;13:00;R106;30;1;6;42
7;2020-02-19T05:31:24;Fi101;13:00;14:00;R107;30;1;7;62
8;2020-02-19T10:27:54;ECE101;14:00;15:00;R108;30;1;8;20
9;2020-02-18T23:52:14;Cal101;15:00;16:00;R109;30;1;9;62
10;2020-02-19T06:29:13;De101;16:00;17:00;R110;30;1;10;62
