id;creation_date;education_level;department;control_number;employment_type;employed_since;employed_until;person_id
1;2020-02-19T01:18:19;MASTERS;Basic;36201;Full Time;2020-02-19;2020-02-19;1
2;2020-02-19T00:50:15;MASTERS;Basic;57012;Full Time;2020-02-18;2020-02-18;2
3;2020-02-19T14:29:29;MASTERS;Basic;48050;Full Time;2020-02-19;2020-02-19;3
4;2020-02-19T04:30:36;MASTERS;Basic;82484;Full Time;2020-02-19;2020-02-19;4
5;2020-02-19T03:23:35;MASTERS;Basic;11750;Full Time;2020-02-18;2020-02-19;5
6;2020-02-18T22:40:56;PHD;Basic;60589;Half Time;2020-02-19;2020-02-19;6
7;2020-02-18T17:53:36;PHD;Basic;28841;Half Time;2020-02-19;2020-02-19;7
8;2020-02-18T17:20:08;PHD;Basic;17118;Half Time;2020-02-19;2020-02-18;8
9;2020-02-18T20:53:52;PHD;Basic;79413;Half Time;2020-02-19;2020-02-19;9
10;2020-02-19T15:05:39;PHD;Basic;17107;Half Time;2020-02-18;2020-02-19;10
