id;creation_date;leave_date_and_hour;full_day;description
1;2020-02-24T01:23:35;2020-02-24T04:17:17;false;interface withdrawal
2;2020-02-23T23:34:34;2020-02-24T03:43:06;false;Checking Account
3;2020-02-24T16:33:40;2020-02-23T23:05:49;true;driver Movies haptic
4;2020-02-24T16:49:36;2020-02-24T06:45:04;true;hacking viral
5;2020-02-24T03:07:17;2020-02-24T18:26:51;true;Developer
6;2020-02-23T23:35:43;2020-02-24T09:08:18;false;online Plastic multi-byte
7;2020-02-24T17:01:59;2020-02-23T22:54:33;false;ubiquitous overriding Brazilian Real
8;2020-02-24T10:12:59;2020-02-23T21:49:17;true;Refined Cotton Tuna experiences
9;2020-02-24T19:29:25;2020-02-24T03:48:55;false;Engineer Virginia
10;2020-02-24T06:17:22;2020-02-24T05:49:39;false;deposit
