id;creation_date;admissin_date;academic_year;control_number;person_id
1;2020-02-18T20:29:52;2020-02-19;1;20598;1
2;2020-02-18T21:48:05;2020-02-19;2;61512;2
3;2020-02-18T19:36:26;2020-02-19;3;67579;3
4;2020-02-18T17:05:45;2020-02-18;4;32709;4
5;2020-02-19T07:42:36;2020-02-18;5;27204;5
6;2020-02-19T12:05:33;2020-02-19;6;97726;6
7;2020-02-19T03:58:12;2020-02-19;8;22696;7
8;2020-02-19T05:37:58;2020-02-18;7;98226;8
9;2020-02-19T01:26:27;2020-02-18;9;38712;9
10;2020-02-18T21:56:28;2020-02-19;11;87238;10
