id;creation_date;course_name;course_code;department;color_code;icon_code
1;2020-02-19T05:52:12;Mathematics;MA;basic;#FF0000;square-root-alt
2;2020-02-19T01:39:50;History;HI;basic;#ffff00;landmark
3;2020-02-19T02:24:47;Geography;GEO;basic;#800080;globe-americas
4;2020-02-18T17:50:25;Spanish;SPA;basic;#0000ff;book-reader
5;2020-02-19T05:36:37;Chemistry;CHEM;basic;#ff0074;bong
6;2020-02-18T17:05:18;Biology;BIO;basic;#00ff2b;paw
7;2020-02-19T07:26:22;Physics;PHY;basic;#e3ff00;cogs
8;2020-02-18T16:30:42;Civic and Ethics;CAE;basic;#00ff92;american-sign-language-interpreting
9;2020-02-18T19:45:17;Calculus;CAL;basic;#ff3300;calculator
10;2020-02-19T09:40:44;Sports;ED;basic;#ff9a00;running
